customer_id,age,gender,location,subscription_status
CUST100000,21,Female,Chennai,No
CUST100001,50,Male,Bangalore,No
CUST100002,45,Female,Delhi,Yes
CUST100003,36,Female,Kolkata,Yes
CUST100005,54,Male,Chandigarh,No
CUST100006,21,Female,Chennai,No
CUST100007,47,Male,Pune,No
CUST100008,26,Male,Chennai,No
CUST100010,40,Male,Kolkata,No
CUST100011,58,Female,Jaipur,No
CUST100012,48,Female,Kolkata,No
CUST100013,49,Male,Patna,No
CUST100014,48,Female,Chennai,Yes
CUST100015,51,Male,Delhi,Yes
CUST100016,39,Male,Bangalore,No
CUST100017,23,Female,Kolkata,No
CUST100018,53,Female,Pune,No
CUST100019,36,Male,Pune,No
CUST100021,33,Male,Hyderabad,Yes
CUST100022,25,Female,Jaipur,No
CUST100023,56,Male,Lucknow,No
CUST100024,50,Male,Chennai,Yes
CUST100025,45,Female,Chennai,No
CUST100026,34,Male,Mumbai,No
CUST100028,40,Male,Gurgaon,No
CUST100029,36,Male,Kochi,No
CUST100030,36,Male,Pune,No
CUST100032,21,Female,Jaipur,No
CUST100033,41,Female,Chandigarh,Yes
CUST100034,55,Female,Hyderabad,Yes
CUST100035,20,Male,Indore,No
CUST100036,54,Male,Delhi,No
CUST100037,52,Female,Delhi,No
CUST100039,44,Female,Mumbai,No
CUST100040,24,Female,Nagpur,Yes
CUST100041,49,Male,Chennai,No
CUST100042,47,Male,Hyderabad,No
CUST100043,32,Male,Chennai,No
CUST100044,20,Male,Chennai,No
CUST100045,58,Male,Hyderabad,Yes
CUST100046,36,Male,Mumbai,No
CUST100047,55,Female,Ahmedabad,No
CUST100049,50,Female,Gurgaon,No
CUST100050,49,Male,Bangalore,No
CUST100051,26,Male,Chandigarh,No
CUST100054,38,Female,Delhi,No
CUST100055,19,Male,Bhubaneswar,No
CUST100056,40,Male,Kolkata,No
CUST100057,24,Female,Ahmedabad,Yes
CUST100058,49,Male,Delhi,No
CUST100059,46,Male,Hyderabad,No
CUST100060,56,Male,Kolkata,No
CUST100061,49,Female,Kochi,Yes
CUST100062,33,Female,Hyderabad,No
CUST100063,58,Male,Gurgaon,No
CUST100064,35,Female,Jaipur,No
CUST100067,33,Male,Bangalore,No
CUST100069,37,Female,Ahmedabad,No
CUST100070,51,Male,Chennai,No
CUST100071,25,Female,Bangalore,No
CUST100072,37,Female,Lucknow,Yes
CUST100073,23,Male,Pune,No
CUST100074,46,Female,Kolkata,No
CUST100075,37,Female,Pune,No
CUST100077,27,Male,Jaipur,Yes
CUST100078,41,Female,Chennai,No
CUST100079,46,Female,Chennai,No
CUST100080,57,Female,Mumbai,Yes
CUST100081,36,Female,Pune,No
CUST100082,24,Female,Pune,Yes
CUST100083,52,Male,Hyderabad,No
CUST100084,44,Male,Nagpur,Yes
CUST100085,47,Male,Surat,No
CUST100086,22,Male,Mumbai,No
CUST100087,31,Male,Lucknow,Yes
CUST100088,50,Female,Chennai,No
CUST100089,52,Male,Visakhapatnam,Yes
CUST100091,51,Female,Hyderabad,Yes
CUST100092,53,Male,Chennai,Yes
CUST100093,34,Female,Bangalore,No
CUST100094,55,Female,Lucknow,Yes
CUST100095,30,Female,Kolkata,No
CUST100096,28,Male,Bangalore,Yes
CUST100097,46,Female,Kolkata,No
CUST100098,44,Female,Kochi,No
CUST100099,23,Female,Gurgaon,No
CUST100100,52,Female,Kolkata,Yes
CUST100101,26,Female,Hyderabad,Yes
CUST100102,51,Male,Mumbai,No
CUST100103,18,Female,Nagpur,No
CUST100104,51,Male,Lucknow,No
