product_key,category,item_purchased,brand,color,size
042D90B67E177EC0D684D89DC2C0B6100ED9B78494D7132D42D5293B63FBFF1B,Accessories,Backpack,Allen Solly,Beige,Free Size
59C4D772FE2235F7055328A8334678D563FB21ED08D25785DA0EB56DE08719A0,Accessories,Backpack,Allen Solly,Black,Free Size
99CFE360DE8D3E8CF01E66D919F7025CFBA3798EA19AB6C1096A5B9B2501BE91,Accessories,Backpack,Allen Solly,Blue,Free Size
15B804C9F8AE005D7E65F0E3F17DE85EFE524FDAEA3990E86BF0731F23CE4731,Accessories,Backpack,Allen Solly,Brown,Free Size
94B426C22433244514CBC1BA1E815C4DCF22E518137507E912D5BA64E61B8AB5,Accessories,Backpack,Allen Solly,Green,Free Size
EDBC1BBACDABAB0E09EA79BD574BDEC07C83C8FEED87D0A2520A472CD478FFDD,Accessories,Backpack,Allen Solly,Grey,Free Size
D351C2C58235F37DEB5064C3F837A4A1B31213C705EE2186A5CE4625CAFABBB5,Accessories,Backpack,Allen Solly,Navy,Free Size
8E0C430812EB007AF9F2E885AC7B88DC86EFE9ED2728740D65C6656115B2F7CD,Accessories,Backpack,Allen Solly,Red,Free Size
0F3B87CE1D2B8A66EF34EDF51C9B1BF32F40BD911548256DD85AE37923343D5B,Accessories,Backpack,Allen Solly,White,Free Size
903670F9AD6BB67D566EADC25B43E30E996C3B7156F34B8503FCC8F8136BF920,Accessories,Backpack,Allen Solly,Yellow,Free Size
E9A40FD899125131059E6B17BEF653187B974A8B80F792B2034853E33BD6A2E1,Accessories,Backpack,Bata,Beige,Free Size
7B68C0AFE170DEEC8F1B81E56F4161256DC946215C25D0C899E47914C55CBBE2,Accessories,Backpack,Bata,Black,Free Size
65E329C5280683AF5DBB073946785C1340FA3B6C81C3C592D36E8458302175B0,Accessories,Backpack,Bata,Blue,Free Size
539227FFDD8E248F5DFB977CB1B0C045771EA572D467DBD3719CBAFC515D811A,Accessories,Backpack,Bata,Green,Free Size
6E0A8EE2B52F1AFCD07E7D0C5C6596E523AACDB12F6B8A3A48B90AC2C4EF6F28,Accessories,Backpack,Bata,Navy,Free Size
84D1ED70FA1722F83851D4FFF0AA7C233F5145EE4E1846BEA6B85802F22C5525,Accessories,Backpack,Bata,Pink,Free Size
